entity_id	issue_id	requirement_id
TEST-245	TEST-245	83
TEST-246	TEST-246	100
TEST-247	TEST-247	94
TEST-248	TEST-248	92
TEST-249	TEST-249	87
TEST-250	TEST-250	86
TEST-251	TEST-251	85
TEST-252	TEST-252	84
TEST-253	TEST-253	79
TEST-254	TEST-254	7
TEST-255	TEST-255	75
TEST-256	TEST-256	76
TEST-257	TEST-257	8
TEST-258	TEST-258	64
TEST-259	TEST-259	19
TEST-260	TEST-260	68
TEST-261	TEST-261	35
TEST-262	TEST-262	36
TEST-263	TEST-263	60
TEST-264	TEST-264	69
TEST-265	TEST-265	77
TEST-266	TEST-266	77
TEST-267	TEST-267	70
TEST-268	TEST-268	71
TEST-269	TEST-269	54
TEST-270	TEST-270	26
TEST-271	TEST-271	73
TEST-272	TEST-272	6
TEST-273	TEST-273	17
TEST-274	TEST-274	67
TEST-275	TEST-275	72
TEST-276	TEST-276	82
TEST-277	TEST-277	102
TEST-278	TEST-278	19
TEST-279	TEST-279	78
TEST-280	TEST-280	69
TEST-281	TEST-281	69
TEST-282	TEST-282	79
TEST-283	TEST-283	7
TEST-284	TEST-284	9
TEST-285	TEST-285	70
TEST-286	TEST-286	70
TEST-287	TEST-287	71
TEST-288	TEST-288	54
TEST-289	TEST-289	54
TEST-290	TEST-290	65
TEST-291	TEST-291	8
TEST-292	TEST-292	72
TEST-293	TEST-293	80
TEST-294	TEST-294	81
TEST-295	TEST-295	75
TEST-296	TEST-296	76
TEST-297	TEST-297	26
TEST-298	TEST-298	26
TEST-299	TEST-299	73
TEST-300	TEST-300	73
TEST-301	TEST-301	35
TEST-302	TEST-302	36
TEST-303	TEST-303	82
TEST-304	TEST-304	82
TEST-305	TEST-305	64
TEST-306	TEST-306	46
TEST-307	TEST-307	46
TEST-308	TEST-308	67
TEST-309	TEST-309	67
TEST-310	TEST-310	4
TEST-311	TEST-311	77
TEST-312	TEST-312	6
TEST-313	TEST-313	17
TEST-314	TEST-314	68
TEST-315	TEST-315	88
TEST-316	TEST-316	89
TEST-317	TEST-317	90
TEST-318	TEST-318	95
TEST-319	TEST-319	96
TEST-320	TEST-320	97
TEST-321	TEST-321	98
TEST-322	TEST-322	3
TEST-323	TEST-323	4
TEST-324	TEST-324	77
TEST-325	TEST-325	101
TEST-326	TEST-326	65
TEST-327	TEST-327	65
TEST-328	TEST-328	80
TEST-329	TEST-329	81
TEST-330	TEST-330	9
TEST-331	TEST-331	65
TEST-332	TEST-332	78
TEST-333	TEST-333	60
