entity_id	issue_id	task_id
DMB-238	DMB-238	1
DMB-239	DMB-239	2
DMB-240	DMB-240	3
DMB-241	DMB-241	4
DMB-242	DMB-242	5
DMB-243	DMB-243	6
DMB-244	DMB-244	7
DMB-245	DMB-245	8
DMB-246	DMB-246	9
DMB-247	DMB-247	10
DMB-248	DMB-248	11
DMB-249	DMB-249	12
DMB-250	DMB-250	13
DMB-251	DMB-251	14
DMB-252	DMB-252	15
DMB-253	DMB-253	16
DMB-254	DMB-254	17
DMB-255	DMB-255	18
DMB-256	DMB-256	19
DMB-257	DMB-257	20
DMB-258	DMB-258	21
DMB-259	DMB-259	22
DMB-260	DMB-260	23
DMB-261	DMB-261	24
DMB-262	DMB-262	25
DMB-263	DMB-263	26
DMB-264	DMB-264	27
DMB-265	DMB-265	28
DMB-266	DMB-266	29
DMB-267	DMB-267	30
DMB-268	DMB-268	31
DMB-269	DMB-269	32
DMB-270	DMB-270	33
DMB-271	DMB-271	34
DMB-272	DMB-272	35
DMB-273	DMB-273	36
DMB-274	DMB-274	37
DMB-275	DMB-275	38
DMB-276	DMB-276	39
