git_repo_name	local_dir
anki_collection_media	
anki_english	/Users/mertnuhoglu/projects/anki_english/
blog_datascience	/Users/mertnuhoglu/projects/jekyll/blog_datascience/
blog_veribilimi	/Users/mertnuhoglu/projects/jekyll/blog_veribilimi/
body_weight_dynamics	
bookdown_test01	
classify_books	/Users/mertnuhoglu/projects/classify_books/
monitoring_servers	/Users/mertnuhoglu/projects/itr/projects/monitoring_servers/
study	/Users/mertnuhoglu/projects/study/
datascience-examples	
data_analysis_presentations	/Users/mertnuhoglu/projects/dewey/data_analysis_presentations/
herring-cove	
jekyll	
jsutils_mn	/Users/mertnuhoglu/projects/jsutils_mn/
logstash-codec-evam	
logstash-output-tcpevam	
mertnuhoglu.com		/Users/mertnuhoglu/projects/jekyll/mertnuhoglu.com/
mertnuhoglu.com_2015	/Users/mertnuhoglu/projects/jekyll/mertnuhoglu.com_2015/
my-readings	
my-vim-baku-project	
my-vim-custom	/Users/mertnuhoglu/projects/vim_repos/my-vim-custom/
nuhogluvakfi	/Users/mertnuhoglu/projects/nuhogluvakfi/
nuhogluvakfi01	/Users/mertnuhoglu/projects/jekyll/nuhogluvakfi01/
resume	
rutils	/Users/mertnuhoglu/projects/rutils/
secim_verileri	/Users/mertnuhoglu/projects/dewey/secim_verileri/
study_data	/Users/mertnuhoglu/projects/study_data/
study_psk	
study_r_package01	
stuff	/Users/mertnuhoglu/projects/stuff/
