match	replace
"ekip/gnd"	"p\\/ekip, g\\/gnd"
"grsm/tst"	"grsm, f\\/tst"
"p/engin/gnd"	"p\\/engin, g\\/gnd"
"pcm/rpa"	"org\\/pcm\\/rpa"
"rdb"	"prd\\/rdb"
"tpc/oryantasyon"	"org\\/orientation"
"ui"	"prd\\/ui"
"vim"	"tll\\/vim"
"wtng"	"g\\/wtng"
"yöntem"	"tpc\\/method"
"work/piyasa-arastirmasi"	"org\\/market-research"
"geribildirim"	"frm\\/feedback"
"msg"	"frm\\/msg"
"mtng"	"frm\\/mtng"
"ndx"	"frm\\/ndx"
"rtc"	"frm\\/rtc"
"qst"	"frm\\/qst"
"qry"	"frm\\/qry"
"query"	"frm\\/qry"
"prb"	"frm\\/prb"
"pln"	"frm\\/pln"
"review"	"frm\\/review"
"analiz"	"prd\\/analysis"
"analysis"	"prd\\/analysis"
"barış"	"p\\/baris"
"branding"	"org\\/branding"
"calisma-ortami"	"org\\/tll"
"clj"	"prg\\/clj"
"clj/clerk"	"prj\\/clj\\/clerk"
"clj/datomic"	"prg\\/datomic"
"clj/electric"	"prg\\/clj\\/electric"
"clojure"	"prg\\/clj"
"cmmi"	"org\\/cmmi"
"cms"	"prj\\/cms"
"code-review"	"org\\/code-review"
"data-model"	"org\\/data-modelling"
"data-modelling"	"org\\/data-modelling"
"documentation"	"org\\/documentation"
"doğukan"	"p\\/dogukan"
"ekip"	"p\\/ekip"
"fkr"	"f\\/fkr"
"g/engin"	"p\\/engin"
"git"	"tll\\/git"
"graphics-design"	"prd\\/graphics-design"
"grsm/branding"	"org\\/branding"
"gtd/mert"	"p\\/mert"
"intellij"	"tll\\/intellij"
"kslt"	"org\\/opal\\/kslt"
"management"	"org\\/management"
"market/competition"	"org\\/market"
"mockup"	"prd\\/mockup"
"org/dijital-pazarlama"	"org\\/marketing\\/digital"
"org/planlama"	"org\\/planning"
"p/doğukan"	"p\\/dogukan"
"pazarlama"	"org\\/marketing"
"procurement"	"prj\\/pms"
"strategy/roadmap"	"org\\/strategy\\/roadmap"
"strategy/technology"	"org\\/strategy\\/technology"
"terminal"	"prg\\/terminal"
"tpc/terminal"	"prg\\/terminal"
"training"	"org\\/training"
"orientation"	"org\\/orientation"
"oryantasyon"	"org\\/orientation"
"p/pms"	"prj\\/pms"
